id,player_name,canonical_name,card_name_version,team,era,primary_position,secondary_positions,current_ovr,proposed_ovr,delta,current_tier,proposed_tier,internal_score,peak_ability,career_achievement,longevity,playoff_performance,awards_honors,historical_impact,badges,archetype,model_source,confidence,evidence_level,nearest_anchor_above_or_equal,nearest_anchor_below_or_equal,manual_review,manual_review_reason,reasoning,source_file,source_line
mookie-blaylock-hawks,Mookie Blaylock (Hawks),Mookie Blaylock,Mookie Blaylock (Hawks),Atlanta Hawks,Team-specific historical variant,PG,SG,87,85,-2,Ruby,Sapphire,85,86.5,84.5,83.5,84.8,84.2,83.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,775
rashard-lewis-supersonics,Rashard Lewis (SuperSonics),Rashard Lewis,Rashard Lewis (SuperSonics),Oklahoma City Thunder,Team-specific historical variant,SF,PF,87,85,-2,Ruby,Sapphire,85,86.5,84.5,83.5,84.8,84.2,83.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,778
rod-strickland-bullets,Rod Strickland (Bullets),Rod Strickland,Rod Strickland (Bullets),Washington Wizards,Team-specific historical variant,PG,SG,87,85,-2,Ruby,Sapphire,85,86.5,84.5,83.5,84.8,84.2,83.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,779
sam-cassell-bucks,Sam Cassell (Bucks),Sam Cassell,Sam Cassell (Bucks),Milwaukee Bucks,Team-specific historical variant,PG,SG,87,85,-2,Ruby,Sapphire,85,86.5,84.5,83.5,84.8,84.2,83.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,780
sidney-wicks-blazers,Sidney Wicks (Blazers),Sidney Wicks,Sidney Wicks (Blazers),Portland Trail Blazers,Team-specific historical variant,PF,C,87,85,-2,Ruby,Sapphire,85,86.5,84.5,83.5,84.8,84.2,83.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,781
terry-porter-blazers,Terry Porter (Blazers),Terry Porter,Terry Porter (Blazers),Portland Trail Blazers,Team-specific historical variant,PG,SG,87,85,-2,Ruby,Sapphire,85,86.5,84.5,83.5,84.8,84.2,83.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,782
world-b-free-cavs,World B. Free (Cavs),World B. Free,World B. Free (Cavs),Cleveland Cavaliers,Team-specific historical variant,SG,PG,87,85,-2,Ruby,Sapphire,85,86.5,84.5,83.5,84.8,84.2,83.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,783
kemba-walker,Kemba Walker,Kemba Walker,Kemba Walker,Charlotte Hornets,2011-2024,PG,,86,85,-1,Ruby,Sapphire,84.9,87.5,83.5,82.5,85.6,83.2,83.5,Shot Creator;Clutch;Paint Pressure,Scoring Lead Guard,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,493
kon-knueppel-2025-26,Kon Knueppel (2025-26),Kon Knueppel,Kon Knueppel (2025-26),Charlotte Hornets,2025-26,SF,,87,85,-2,Ruby,Sapphire,84.9,88.8,82.7,81.7,83.9,82.4,84.5,Elite Shooter;Floor General;Three-Level Scorer,2025-26 Connector Creator,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,244
norm-nixon-lakers,Norm Nixon (Lakers),Norm Nixon,Norm Nixon (Lakers),Los Angeles Lakers,Team-specific historical variant,PG,SG,87,85,-2,Ruby,Sapphire,84.9,86.5,84.5,82.6,84.8,84.2,83.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,776
otis-birdsong-nets,Otis Birdsong (Nets),Otis Birdsong,Otis Birdsong (Nets),Brooklyn Nets,Team-specific historical variant,SG,SF,87,85,-2,Ruby,Sapphire,84.9,86.5,84.5,82.6,84.8,84.2,83.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,777
amen-thompson-2025-26,Amen Thompson (2025-26),Amen Thompson,Amen Thompson (2025-26),Houston Rockets,2025-26,PG,,87,85,-2,Ruby,Sapphire,84.8,88.5,82.7,81.7,83.9,82.4,84.7,Floor General;Glass Cleaner;Wing Stopper,2025-26 Offensive Engine,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,211
ben-wallace,Ben Wallace,Ben Wallace,Ben Wallace,Detroit Pistons,1996-2012,C,PF,86,85,-1,Ruby,Sapphire,84.8,87.3,83.5,82.9,83.8,84,82.2,Rim Protector;Glass Cleaner;Defensive IQ,Defensive Specialist Big,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,495
brandon-ingram-pelicans,Brandon Ingram (Pelicans),Brandon Ingram,Brandon Ingram (Pelicans),New Orleans Pelicans,2019-2024,SF,SG;PF,86,85,-1,Ruby,Sapphire,84.8,87.5,83.5,82.8,84.2,83.2,83.1,Shot Creator;Three-Level Scorer;Connector,Long-Striding Shotmaking Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,843
cj-mccollum-2025-26,CJ McCollum (2025-26),CJ McCollum,CJ McCollum (2025-26),Atlanta Hawks,2025-26,PG,,87,85,-2,Ruby,Sapphire,84.8,88.5,82.7,81.7,83.9,82.4,84.7,Floor General;Paint Pressure,2025-26 Offensive Engine,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,289
danny-granger,Danny Granger,Danny Granger,Danny Granger,Indiana Pacers,2005-2015,SF,SG,86,85,-1,Ruby,Sapphire,84.8,87.7,83.5,82.5,83.8,83.2,83.8,Elite Shooter;Shot Creator;Wing Stopper,Shotmaking Two-Way Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,571
deandre-jordan,DeAndre Jordan,DeAndre Jordan,DeAndre Jordan,Los Angeles Clippers,2008-Present,C,,86,85,-1,Ruby,Sapphire,84.8,87.4,83.5,82.5,83.8,84,82.8,Vertical Threat;Rim Protector;Glass Cleaner,Vertical Rim-Running Anchor,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,667
donovan-clingan-2025-26,Donovan Clingan (2025-26),Donovan Clingan,Donovan Clingan (2025-26),Portland Trail Blazers,2025-26,C,,87,85,-2,Ruby,Sapphire,84.8,88.4,82.7,81.7,83.9,83.2,83.8,Glass Cleaner;Rim Protector;Vertical Threat,2025-26 Interior Anchor,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,227
eddie-jones,Eddie Jones,Eddie Jones,Eddie Jones,Los Angeles Lakers,1994-2008,SG,SF,86,85,-1,Ruby,Sapphire,84.8,87.6,83.5,82.5,83.8,83.2,84.5,Wing Stopper;Elite Shooter;Off-Ball Gravity,Two-Way Off-Ball Guard,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,516
glen-rice,Glen Rice,Glen Rice,Glen Rice,Charlotte Hornets,1989-2004,SF,SG,86,85,-1,Ruby,Sapphire,84.8,87.6,83.5,82.5,83.8,83.2,84.5,Elite Shooter;Off-Ball Gravity;Bench Scorer,Volume Shooting Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,515
rudy-gobert,Rudy Gobert,Rudy Gobert,Rudy Gobert,Utah Jazz,2013-Present,C,,86,85,-1,Ruby,Sapphire,84.8,87.4,83.5,82.5,83.8,84,82.8,Rim Protector;Glass Cleaner;Vertical Threat,Drop Coverage Anchor,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,503
serge-ibaka,Serge Ibaka,Serge Ibaka,Serge Ibaka,Oklahoma City Thunder,2008-2023,PF,C,86,85,-1,Ruby,Sapphire,84.8,87.5,83.5,82.5,83.8,83.7,83.1,Rim Protector;Switchable Big;Vertical Threat,Explosive Shot-Blocking Big,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,660
al-horford-hawks,Al Horford (Hawks),Al Horford,Al Horford (Hawks),Atlanta Hawks,2007-Present,PF,C,86,85,-1,Ruby,Sapphire,84.7,85.5,85,82.8,85.7,83.9,82.2,Connector;Switchable Big;Champion DNA,Veteran Two-Way Connector Big,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,592
brandon-ingram-2025-26,Brandon Ingram (2025-26),Brandon Ingram,Brandon Ingram (2025-26),Toronto Raptors,2025-26,SF,,87,85,-2,Ruby,Sapphire,84.7,88.4,82.7,81.7,83.9,82.4,84.4,Floor General;Three-Level Scorer;Transition Force,2025-26 Two-Way Wing,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,216
gordon-hayward-jazz,Gordon Hayward (Jazz),Gordon Hayward,Gordon Hayward (Jazz),Utah Jazz,2010-2017,SF,SG;PF,86,85,-1,Ruby,Sapphire,84.7,87.1,83.5,82.8,84.2,83.2,82.9,Connector;Three-Level Scorer;Elite Shooter,Complete Connector Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,854
mark-jackson,Mark Jackson,Mark Jackson,Mark Jackson,Indiana Pacers,1987-2004,PG,SG,86,85,-1,Ruby,Sapphire,84.7,87.1,83.5,82.9,83.8,83.2,83.4,Floor General;Tempo Control;Defensive IQ,Methodical Floor General,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,619
ralph-sampson,Ralph Sampson,Ralph Sampson,Ralph Sampson,Houston Rockets,1983-1992,C,PF,86,85,-1,Ruby,Sapphire,84.7,87.2,83.5,82.5,83.8,83.7,82.8,Athletic Freak;Rim Protector;Mismatch Weapon,Mobile Jumbo Big,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Ruby to Sapphire. | Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,547
